Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SCUBE1,2.7268863983859086,-4.0265491939518485,1.117892116822048,-3.601912146405105,0.00031588512541029485,0.010604802061187558
HOXA-AS3,8.390362170598205,-3.814363197093642,0.6955297614848653,-5.484112123326648,4.1555115999501416e-08,3.791696656400235e-05
APOC2,19.966885156032443,-3.6820382819875794,1.024440616988973,-3.594193963931062,0.00032539736729759273,0.010836332141825132
SPAG6,5.173586855140344,-3.616898620213071,1.2042607239553982,-3.0034182368194786,0.0026696527270173177,0.04330470355059629
TPSAB1,24.617565649383263,-3.4281192535405944,1.0863857964687385,-3.155526576915479,0.0016020866967860956,0.031290485173850593
HOXA6,12.498731538394408,-3.4277963102326625,0.7591385594517516,-4.515376366480726,6.320441230211903e-06,0.0008955817362769865
MRC1,21.418779660707173,-3.3451076345684156,0.8351520135586351,-4.005387738113331,6.191583423238888e-05,0.0035549307540582295
HOXA3,12.45873019421471,-3.301880851133228,0.6813575670906722,-4.846032407377415,1.2595495068675519e-06,0.00035008209659147553
TRH,15.855357185310014,-3.2020694902060765,0.9710408780138328,-3.2975640497808807,0.0009752742822085881,0.022553022721217158
HOXA4,2.229995268951792,-3.200474754586039,0.8329702420629947,-3.842243807725364,0.00012191464218869098,0.005558461588495743
NPW,4.843734164961086,-3.166623291702338,0.8058222000981776,-3.9296798863527607,8.505902342571727e-05,0.004390564519899613
PKIB,11.060421636261108,-3.044258325986815,0.7260068578825504,-4.19315367745369,2.751029382729693e-05,0.0021548179267434496
HOXA5,25.049997317407293,-2.9753403008189103,0.6024875216602004,-4.938426430177563,7.875547883304308e-07,0.00024744629034216775
TPSB2,10.240808590456998,-2.9686476009365927,0.9361006218326078,-3.1712911322768487,0.0015176296155732022,0.030046987443670535
RXFP1,8.572794350026308,-2.9493710384173983,0.8107250221194063,-3.6379425303873316,0.0002748247266289189,0.00983178656922714
RFX8,7.309314863540526,-2.9115878635630903,0.6865687446051149,-4.240781256708258,2.2274313112831643e-05,0.0019507319233139184
TPSD1,4.67517867749982,-2.8562693697099597,0.8749687713434902,-3.2644243580536454,0.0010968674679816732,0.024502357828035736
SPINK2,408.353487779331,-2.8406406727489872,0.6777402253122863,-4.1913414117335135,2.7730999403188377e-05,0.0021548179267434496
CACNB4,7.910979119668762,-2.67963964681305,0.5827366373231865,-4.598371674590487,4.258058598233443e-06,0.0007073761025318155
WT1-AS,6.163049947825294,-2.6683912861216945,0.7406226002990913,-3.6029028617869576,0.0003146831498366157,0.010604802061187558
ZNF704,12.53679342677328,-2.640466270130676,0.6287350861822496,-4.1996483545460865,2.673298278168956e-05,0.0021548053020168253
GOLGA8M,3.966414402934347,-2.5767110419991774,0.6176020519038281,-4.172121893144905,3.0177611406038844e-05,0.0022747826878218172
LINC01268,24.869993709646042,-2.5684867380673126,0.5984772777336261,-4.291703016351625,1.773079894416232e-05,0.001695031280020942
CCNA1,7.663900750555597,-2.5319126807841608,0.577608059316405,-4.38344417108837,1.1681759586018884e-05,0.0012987420868979301
HPGDS,15.875554572031842,-2.5197505812606704,0.6850755370191264,-3.6780624107883195,0.00023501246215969267,0.008754214215448551
SERPINI2,4.259432077010559,-2.506402840295571,0.5956050287496291,-4.208162656983161,2.574555219315072e-05,0.002114722422578619
LOC339862,3.233709632308004,-2.4950074255281245,0.8291548448267168,-3.0090970837293374,0.0026202537176902934,0.042888479028060936
FLT3,233.7717426250303,-2.4537031938032046,0.4107174891884702,-5.974187265926843,2.3124005963326726e-09,9.559340502868722e-06
LOC100128988,11.602224514856124,-2.427439641984657,0.6968077804347608,-3.483657487966193,0.0004946120253737392,0.014325907019492289
HOXA7,4.416087330698304,-2.41845689220034,0.6441784911029247,-3.7543272953115836,0.00017380763460734706,0.007151321591489308
CXCL1,2.983393156068118,-2.4179216322702093,0.657287762039936,-3.6786347957643843,0.00023448575133728854,0.008754214215448551
HOXA9,110.02806991055068,-2.3966984095029042,0.5701234866145342,-4.2038233220925605,2.6244381951285075e-05,0.0021309553502355237
MAMDC2,13.420609770890712,-2.394162479660428,0.7242620325674034,-3.3056578586253798,0.00094753712489995,0.022052744067921057
ADAMTS2,3.0862688019464297,-2.392529536227756,0.7180515423055535,-3.331974649822087,0.0008623211077911813,0.02090794473493472
CLEC11A,92.56368098411198,-2.3638019089090014,0.46180515838180913,-5.1186130470952165,3.0779072603917815e-07,0.0001373247406447189
CFD,453.56755244953615,-2.3626958935033593,0.5507405280258025,-4.290034550340311,1.7864532364118867e-05,0.001695031280020942
ECM1,1.9611119725911441,-2.3542185776485796,0.7916819914974292,-2.973692218507694,0.0029424004954304445,0.045825985302215745
SKIDA1,13.391158231413069,-2.3482420623206064,0.5990464886634552,-3.9199663244163525,8.856134269204798e-05,0.0044911476699234015
CPA3,63.29398506754467,-2.342769449734907,0.7307808911682614,-3.2058438829587397,0.0013466702914338305,0.027775653688163496
ITGA9,4.201147898574459,-2.3156517402939296,0.6712952816659706,-3.4495278062242853,0.0005615678926436265,0.01563842148820488
PTH2R,3.387501035527557,-2.3151257276827373,0.6212507998526834,-3.7265557295567597,0.0001941141680128389,0.007771556981411525
GGT5,1.743628720745051,-2.277727820735736,0.7086009551573224,-3.214401284895303,0.0013071685227643696,0.02722263207422685
DNM1,4.085173397648494,-2.210403400838506,0.6273446621012445,-3.5234274464612856,0.000426003713365682,0.012853928328338626
TCTEX1D1,14.378646659751466,-2.208653305099076,0.6658528181465907,-3.317029296724897,0.0009098007586021239,0.021450816254610924
SUCNR1,27.57329531434761,-2.1635256079836522,0.5387487524309734,-4.015834093761268,5.9235917479435894e-05,0.0034802305501231176
PLPPR3,4.797229628898165,-2.1624847125351243,0.5881723697406719,-3.676617304360242,0.00023634719849865914,0.008758784768977233
LRRC63,5.19203152524887,-2.154801312753402,0.5349068375589197,-4.028367486545826,5.6165503544325264e-05,0.003396485450736958
SNAI3-AS1,6.604993599263793,-2.1513090049859183,0.6264849081863727,-3.43393588077612,0.0005948848974589584,0.016263631967405823
IGSF10,9.810201940781026,-2.148024604580346,0.605455590190111,-3.5477822641060652,0.00038848923424232557,0.012162122558173952
TRIM71,10.129928020286957,-2.131846481195194,0.547274184903376,-3.8953901718780726,9.804077969887833e-05,0.004787106043878001
TNFSF9,2.6097361436744815,-2.104390062772231,0.6191648312930598,-3.3987558020332593,0.0006769312744186688,0.017820924789021895
PLAU,3.709027851403604,-2.068167273370856,0.5593531066976575,-3.6974269895111993,0.0002177958309768261,0.008349610464477632
AIF1L,10.819292292144333,-2.0479134775404906,0.6705455890752032,-3.0541002892359828,0.0022573660398660673,0.03861030931856127
PRICKLE1,5.570668374654403,-2.00535669376704,0.5926766699856896,-3.3835593592969673,0.0007155273829751103,0.01859985119809221
LINC00539,11.279413650682885,-2.001884385772868,0.44810886745040374,-4.4674063183863115,7.917366429353266e-06,0.0010366143011029654
IL3RA,23.855759073557635,-1.9915336859319717,0.3536991445835403,-5.63058666222358,1.7959767045895218e-08,2.1631042759526968e-05
HOXA10,49.06422087250598,-1.9900430094520456,0.5029734051845909,-3.9565571239729893,7.60377118247706e-05,0.004070270551864479
LOC101927851,5.4933350897507225,-1.9830283142360217,0.5812815434020204,-3.4114764811387417,0.0006461207499608706,0.017248847498701685
