Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,-log10_padj
KLRK1,53.6992471069202,2.4623904496865525,0.39563108259304247,6.223955998471026,4.847730898105099e-10,7.006425467031299e-06,5.154503493570786
PCED1B-AS1,60.7881754644667,2.378421954788052,0.3948003920740192,6.024365736552088,1.6977406914921384e-09,9.559340502868722e-06,5.019572068586307
SYDE2,4.187239081007055,2.8675596494180087,0.48176475214003506,5.9521989449831985,2.645634955474634e-09,9.559340502868722e-06,5.019572068586307
FLT3,233.7717426250303,-2.4537031938032046,0.4107174891884702,-5.974187265926843,2.3124005963326726e-09,9.559340502868722e-06,5.019572068586307
LBH,94.05642753762808,2.473255827656405,0.4194867836348125,5.89590882035873,3.726247048434893e-09,1.0771089718205901e-05,4.967740356621897
CD8A,39.0750000881867,2.947731662395668,0.50398051397728,5.848900067847772,4.948342498276608e-09,1.1919732354598637e-05,4.923733496124801
TRIB2,44.89334047522809,2.572825647210649,0.44208464421969057,5.819758005283946,5.893288904561013e-09,1.2167957791088618e-05,4.914782305458107
KCNH2,18.811638490582894,3.8254511652317005,0.6603309530886304,5.793233146710061,6.904415313298274e-09,1.2473689315387496e-05,4.904005077207539
TMEM2,30.903150903265278,1.870516200411905,0.3257306737571618,5.742523965693231,9.327567255337252e-09,1.4979036615709922e-05,4.824516117606874
TIAM1,24.46489090224914,2.893919564510277,0.5088280383563614,5.68742157735321,1.2897179669347586e-08,1.8640293776108066e-05,4.729547247328751
PCED1B,20.88503624024834,2.098414487758203,0.37044939984804054,5.664510426036536,1.4744489761527052e-08,1.9372919138486408e-05,4.712804934251596
IL3RA,23.855759073557635,-1.9915336859319717,0.3536991445835403,-5.63058666222358,1.7959767045895218e-08,2.1631042759526968e-05,4.664922544185837
CD3E,68.07318009439749,3.0225593957479897,0.5394983992652314,5.602536355741848,2.1123771152732194e-08,2.3484758805418338e-05,4.629213895775123
HOOK1,24.47848459715082,2.669045839246405,0.4802265777831758,5.5578886357503725,2.7305750438479158e-08,2.818928650623852e-05,4.549915916335738
