Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MIR650,9.19679077503051,6.351449643516849,2.0853847898204942,3.0456967340130885,0.0023214185197701323,0.0392874260728779
CTSE,7.182828354140002,4.90487568782745,1.2738705862461397,3.8503720399740198,0.00011793853582201043,0.005480918515226742
FAM178B,10.484814061495282,4.472972374811393,0.960600966887853,4.656431264381184,3.2173762668119946e-06,0.0005970195834265693
SLC25A21,6.571890367098689,4.443447618833689,0.9097754961585647,4.884114418992046,1.0389473434853886e-06,0.00030031811910788647
HCN3,7.015994220817616,3.9973149862379875,0.8226230455007604,4.859230492144404,1.1784287733830885e-06,0.0003339574717981525
KCNH2,18.811638490582894,3.8254511652317005,0.6603309530886304,5.793233146710061,6.904415313298274e-09,1.2473689315387496e-05
NMU,13.679113392234624,3.799592677485967,0.8287972160760883,4.584466023516593,4.551480871530562e-06,0.0007298008379106985
SMILR,2.434100508531958,3.6307104657693667,1.0451512389286384,3.4738613231623097,0.0005130261088500831,0.014711837998433038
ELK2AP,234.69007745179775,3.5784782037784217,1.11073547935132,3.2217195455647882,0.0012742379637355394,0.02676825768876417
PLCH2,2.599266413497691,3.561059184319914,0.804229643311299,4.427913362727802,9.514910333165072e-06,0.0011719056565810862
DNASE1L3,2.5255070316980524,3.5541988231145987,1.1544633727673688,3.078658801097184,0.002079346766413694,0.036907318174682055
KRT13,1.4474711834001948,3.518254750788503,0.9351222788024594,3.762347267882513,0.00016832610305710357,0.00703126348983907
IGLL5,673.5445468758656,3.4216416620318038,0.8242216275751678,4.151361172234897,3.3050372096804144e-05,0.0024125102419955066
PI16,2.892794687125347,3.372122721495127,0.9886626570548076,3.410792040573845,0.0006477447498819914,0.017248847498701685
VPREB3,2.7448017459190965,3.3052763986112375,0.9995208686954795,3.3068608191493842,0.0009434775643087018,0.022029210398955845
HBQ1,15.25101128482362,3.275446585386815,0.8269055678743008,3.961089044069323,7.460870155013987e-05,0.004037230925000314
LINC02446,16.533619259592147,3.251278633212759,0.6357224252689068,5.114305401193748,3.148975307576367e-07,0.0001373247406447189
THRA1-BTR,2.516761608644775,3.2401069638606868,0.6847711469677438,4.731663970084464,2.2268683096703355e-06,0.00048037205492037854
PCDH9,12.58019408914396,3.209167000148334,0.6536424539287655,4.90966732784782,9.123102655958023e-07,0.0002747004222636694
ICOS,14.003611685925184,3.180446598513726,0.643278434977132,4.944121278722469,7.648807814448967e-07,0.00024744629034216775
FERMT2,1.8736104497120827,3.164333793153046,1.0312090812574786,3.068566647313064,0.002150883455594317,0.03772660022294255
JCHAIN,1141.0340843861547,3.089006120750655,0.7323592173148717,4.217883857700617,2.466057763742975e-05,0.002060227332911978
EPCAM,24.172455751318754,3.081025340698886,0.7878235862220926,3.9108061685148945,9.198857317508605e-05,0.004616357111456662
PKLR,2.625383117721447,3.063835810646163,0.763555809939371,4.012589218448148,6.0056369268773487e-05,0.0034859225102071615
PLXNA4,1.7045793865666021,3.0470673427204606,0.9183760245885622,3.3178864224875255,0.0009070135787362725,0.021450816254610924
SLC10A4,2.2795584974192065,3.033456035827293,0.9533584028195702,3.1818632183403492,0.0014633090919233525,0.029333157150580047
PLOD2,8.244603300221875,3.022773601071832,0.7932715577342756,3.8105155436373015,0.00013867729216923035,0.00609210609034008
CD3E,68.07318009439749,3.0225593957479897,0.5394983992652314,5.602536355741848,2.1123771152732194e-08,2.3484758805418338e-05
CD8B,14.776852437536114,3.0142645253986498,0.6815647133265919,4.422565409360146,9.753580722946159e-06,0.0011719056565810862
ABCD2,12.667259713898222,2.994654623578134,0.661933030388076,4.5241051376790145,6.065157076713304e-06,0.0008765971522973738
ARHGEF37,2.3766380947267747,2.9890359177346166,0.8701851745553457,3.434942360701535,0.0005926798757241251,0.016263631967405823
CFI,1.7239294252583275,2.9756374598685253,0.9400477724105428,3.1654108942125005,0.0015486408681442132,0.030535479491525668
CD8A,39.0750000881867,2.947731662395668,0.50398051397728,5.848900067847772,4.948342498276608e-09,1.1919732354598637e-05
CA3,3.3745891652685387,2.931856026132872,0.8539599435148114,3.4332477165915463,0.0005963969378485496,0.016263631967405823
CA6,2.582759423559492,2.9197799772335347,0.8522024164717672,3.426157824477684,0.0006121845571603567,0.016569107499323287
LINC02273,4.630698879333913,2.913984861774746,0.7737612422943796,3.766000030105039,0.00016588377117490667,0.006949327955915728
TIAM1,24.46489090224914,2.893919564510277,0.5088280383563614,5.68742157735321,1.2897179669347586e-08,1.8640293776108066e-05
THEMIS,29.20856077736213,2.889945340425387,0.6372744441092277,4.534852083178868,5.764386895514104e-06,0.0008415422606148015
