Gene,log2FoldChange
MIR650,6.351449643516849
CTSE,4.90487568782745
FAM178B,4.472972374811393
SLC25A21,4.443447618833689
HCN3,3.9973149862379875
KCNH2,3.8254511652317005
NMU,3.799592677485967
SMILR,3.6307104657693667
ELK2AP,3.5784782037784217
PLCH2,3.561059184319914
DNASE1L3,3.5541988231145987
KRT13,3.518254750788503
IGLL5,3.4216416620318038
PI16,3.372122721495127
VPREB3,3.3052763986112375
HBQ1,3.275446585386815
LINC02446,3.251278633212759
THRA1-BTR,3.2401069638606868
PCDH9,3.209167000148334
ICOS,3.180446598513726
FERMT2,3.164333793153046
C1orf105,3.101937716749725
JCHAIN,3.089006120750655
EPCAM,3.081025340698886
PKLR,3.063835810646163
PLXNA4,3.0470673427204606
SLC10A4,3.033456035827293
PLOD2,3.022773601071832
CD3E,3.0225593957479897
CD8B,3.0142645253986498
ABCD2,2.994654623578134
ARHGEF37,2.9890359177346166
CFI,2.9756374598685253
CD8A,2.947731662395668
CA3,2.931856026132872
CA6,2.9197799772335347
LINC02273,2.913984861774746
TIAM1,2.893919564510277
THEMIS,2.889945340425387
SYDE2,2.8675596494180087
LINC00570,2.861726327623579
HLF,2.85928536600791
ST6GALNAC1,2.856158697670682
NELL2,2.8523437327070114
TGFBR3,2.8396458170930154
DPF3,2.837389284183308
TTC16,2.831230043472573
C3orf14,2.826461899261318
SAMD3,2.8260550095932335
APOC1,2.8123869526095016
LINC01630,2.809201117922257
CTLA4,2.7728099330221734
CDH1,2.759254570456633
LEF1-AS1,2.743013688894388
PTPRK,2.740790133781332
LUM,2.738671802081453
FCRL5,2.7290878211852028
CCR4,2.728280756773309
LEF1,2.7228730323633923
SIT1,2.720038332075845
FLT3LG,2.716985994133295
CD40LG,2.699925738494947
EOMES,2.6963643428192605
EPHA4,2.6914141399264304
HOOK1,2.669045839246405
RGMB,2.6668746752064605
ZNF831,2.66387357395742
SMIM1,2.6476569624161903
UBASH3A,2.6381286536271453
MAL,2.6371710023151866
IL32,2.623994620201957
ITK,2.6199147648448484
RAPGEF5,2.6117456382467332
TIGIT,2.6086308347859393
KLRC2,2.602680720615756
GATA3,2.5833566898942206
GIMAP5,2.5793582097629755
TRIB2,2.572825647210649
LCK,2.571541939418545
HAPLN3,2.5700529813158752
SEMA3C,2.5672361328916518
ZNF683,2.567115842779027
CCL2,2.565144889508777
AHSP,2.562016746189413
XCL1,2.5617814469985607
HBG1,2.5594396371871415
SLFN5,2.5494076188396595
CXCL12,2.535132758474926
CDC14B,2.5263881630389027
CCR7,2.521693735929853
LOC101927596,2.517889137170997
CAMK4,2.513401643168661
GRAP2,2.5093286481865684
SMAD7,2.5074336244012976
TCF7,2.5072512959566944
ADD2,2.5070715462618787
GIPC2,2.502808347815231
CYYR1,2.4937676465318974
IFI27,2.4927470220914505
GZMH,2.491816341099833
PTGDR,2.4888054101547317
JAKMIP1,2.487345266103674
LOC101927960,2.4760697595139862
IFNG,2.4746055254413566
LBH,2.473255827656405
SOGA3,2.4681061563860602
CHRM3-AS2,2.468072550935761
PLEK2,2.467955700996384
CD27,2.464908127810059
KLRK1,2.4623904496865525
ALDH1A1,2.455582203052987
