,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2021,positive regulation of T cell activation (GO:0050870),15/75,9.779286463691168e-11,2.3255143210657597e-07,0,0,11.227534562211982,258.7741196600259,CD274;TFRC;SIRPG;GATA3;CD3E;CD40LG;CD6;IL23A;LCK;IL7;CCL5;CD28;CCL2;CCR7;IL6ST
1,GO_Biological_Process_2021,T cell activation (GO:0042110),15/92,1.9829704338346016e-09,2.357751845829341e-06,0,0,8.741097612065355,175.15996958857,ITK;CD3G;GATA3;CD3E;RASGRP1;DPP4;CD2;CD8B;CD8A;LCK;CD7;LEPR;CD28;CCR7;LAT
2,GO_Biological_Process_2021,regulation of T cell differentiation (GO:0045580),10/39,1.0446967713839672e-08,8.28096307450358e-06,0,0,15.334223548817846,281.79632187977825,ZNF683;CD2;IFNG;IL7;TBX21;CAMK4;TCF7;CTLA4;GATA3;PRDM1
3,GO_Biological_Process_2021,antigen receptor-mediated signaling pathway (GO:0050851),19/185,3.9526549238560734e-08,2.349853352232436e-05,0,0,5.159918744746427,87.95748811141799,ITK;PLEKHA1;TRAT1;TXK;THEMIS;CD3G;GATA3;CD3E;LIME1;IGLL5;LCK;GRAP2;CD28;CTLA4;FYN;CD247;CARD11;SKAP1;LAT
4,GO_Biological_Process_2021,cytokine-mediated signaling pathway (GO:0019221),37/621,7.622138088512944e-08,3.625088874896756e-05,0,0,2.9166902181141108,47.80345548768706,IFITM1;CSF1;RORA;GATA3;OASL;SOCS3;UGCG;IL18RAP;GRAP2;CCL5;STAT4;LEPR;IL21R;S1PR1;CCL2;FYN;NCAM1;GBP1;IL32;FLT3LG;TRAF1;ISG20;CD40LG;IFI27;IFNG;LCK;IL23A;IL7;IL2RB;XCL2;LTA;XCL1;CD27;LTB;IL6ST;IL7R;IL18R1
5,GO_Biological_Process_2021,positive regulation of natural killer cell mediated cytotoxicity (GO:0045954),7/20,1.651275149744456e-07,5.9968431642553215e-05,0,0,23.80194918203968,371.7042781696159,KLRK1;KLRC2;CD160;CD226;KLRD1;SLAMF6;RASGRP1
6,GO_Biological_Process_2021,positive regulation of cytokine production (GO:0001819),25/335,1.7652608137000525e-07,5.9968431642553215e-05,0,0,3.6596545952525865,56.90688678440408,ITK;CD274;TXK;RORA;GATA3;LY9;RASGRP1;SLAMF6;CCR7;TIGIT;ZBP1;GBP5;CD2;CD40LG;IFNG;CD6;IL23A;IL7;CD28;XCL1;CD226;LTB;IL6ST;IL18R1;CARD11
7,GO_Biological_Process_2021,regulation of natural killer cell mediated cytotoxicity (GO:0042269),8/30,2.299567626583068e-07,6.835464770018167e-05,0,0,16.10307153164296,246.14147951116828,KLRK1;KLRC2;CD160;SLAMF6;CD226;KLRD1;KLRC1;RASGRP1
8,GO_Biological_Process_2021,positive regulation of leukocyte mediated cytotoxicity (GO:0001912),9/43,3.8303700222144236e-07,0.00010120688792028774,0,0,11.741510695187166,173.48239671221404,KLRK1;KLRC2;CD160;IL23A;XCL1;SLAMF6;CD226;KLRD1;RASGRP1
9,GO_Biological_Process_2021,positive regulation of natural killer cell mediated immunity (GO:0002717),7/23,4.926129091845461e-07,0.00011239415847731136,0,0,19.336114253393664,280.8288702870881,KLRK1;KLRC2;CD160;CD226;KLRD1;SLAMF6;RASGRP1
10,GO_Biological_Process_2021,cellular response to cytokine stimulus (GO:0071345),30/482,5.452871985967637e-07,0.00011239415847731136,0,0,3.025376475806281,43.63183798028503,CSF1;TCF7;LEF1;RORA;GATA3;ZFP36L1;SOCS3;GRAP2;CCL5;STAT4;LEPR;S1PR1;CCL2;FYN;CCR7;LDLRAP1;GBP1;IL32;GBP5;PYHIN1;FLT3LG;LCK;IL23A;IL7;IL2RB;XCL2;XCL1;IL6ST;PTPN4;IL18R1
11,GO_Biological_Process_2021,T cell receptor signaling pathway (GO:0050852),16/158,5.671698493388295e-07,0.00011239415847731136,0,0,5.050645675438311,72.64145194790164,ITK;TRAT1;TXK;THEMIS;CD3G;GATA3;CD3E;LCK;GRAP2;CD28;CTLA4;FYN;CD247;CARD11;SKAP1;LAT
12,GO_Biological_Process_2021,regulation of immune response (GO:0050776),17/179,6.29367241958498e-07,0.0001151257924136391,0,0,4.709833676268861,67.24959987775085,IFITM1;KLRB1;CD160;CD3G;CD3E;HERC5;KLRK1;CD40LG;CD8B;CD8A;SLAMF7;LAIR2;CD226;SLAMF6;KLRD1;KLRC1;CD247
13,GO_Biological_Process_2021,regulation of T cell activation (GO:0050863),9/47,8.548030043470838e-07,0.00014519439602409751,0,0,10.503409090909091,146.75777855179362,CD2;SIT1;LCK;CCL5;TBX21;SIRPG;CCL2;TIGIT;LAT
14,GO_Biological_Process_2021,regulation of lymphocyte differentiation (GO:0045619),6/20,3.6737110072004113e-06,0.0005824056516748385,0,0,18.900677200902933,236.52890030766085,ZNF683;CD2;TBX21;PRDM1;IKZF3;ZFP36L1
15,GO_Biological_Process_2021,regulation of cholesterol metabolic process (GO:0090181),6/21,5.046043039130345e-06,0.0007499681466907476,0,0,17.639729119638826,215.1501210850801,SEC14L2;EPHX2;APOE;LDLRAP1;TTC39B;CES1
16,GO_Biological_Process_2021,positive regulation of lymphocyte proliferation (GO:0050671),10/75,6.622174996778622e-06,0.0009263254201376212,0,0,6.828806728578938,81.43411224540657,CD274;CD40LG;TFRC;CD6;IL23A;IL7;CCL5;CD28;CD3E;IL6ST
