Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of T cell activation (GO:0050870)	15/75	9.779286e-11	2.325514e-07	0	0	1.122753e+01	2.587741e+02	CD274;TFRC;SIRPG;GATA3;CD3E;CD40LG;CD6;IL23A;LCK;IL7;CCL5;CD28;CCL2;CCR7;IL6ST
GO_Biological_Process_2021	T cell activation (GO:0042110)	15/92	1.982970e-09	2.357752e-06	0	0	8.741098e+00	1.751600e+02	ITK;CD3G;GATA3;CD3E;RASGRP1;DPP4;CD2;CD8B;CD8A;LCK;CD7;LEPR;CD28;CCR7;LAT
GO_Biological_Process_2021	regulation of T cell differentiation (GO:0045580)	10/39	1.044697e-08	8.280963e-06	0	0	1.533422e+01	2.817963e+02	ZNF683;CD2;IFNG;IL7;TBX21;CAMK4;TCF7;CTLA4;GATA3;PRDM1
GO_Biological_Process_2021	antigen receptor-mediated signaling pathway (GO:0050851)	19/185	3.952655e-08	2.349853e-05	0	0	5.159919e+00	8.795749e+01	ITK;PLEKHA1;TRAT1;TXK;THEMIS;CD3G;GATA3;CD3E;LIME1;IGLL5;LCK;GRAP2;CD28;CTLA4;FYN;CD247;CARD11;SKAP1;LAT
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	37/621	7.622138e-08	3.625089e-05	0	0	2.916690e+00	4.780346e+01	IFITM1;CSF1;RORA;GATA3;OASL;SOCS3;UGCG;IL18RAP;GRAP2;CCL5;STAT4;LEPR;IL21R;S1PR1;CCL2;FYN;NCAM1;GBP1;IL32;FLT3LG;TRAF1;ISG20;CD40LG;IFI27;IFNG;LCK;IL23A;IL7;IL2RB;XCL2;LTA;XCL1;CD27;LTB;IL6ST;IL7R;IL18R1
GO_Biological_Process_2021	positive regulation of natural killer cell mediated cytotoxicity (GO:0045954)	7/20	1.651275e-07	5.996843e-05	0	0	2.380195e+01	3.717043e+02	KLRK1;KLRC2;CD160;CD226;KLRD1;SLAMF6;RASGRP1
GO_Biological_Process_2021	positive regulation of cytokine production (GO:0001819)	25/335	1.765261e-07	5.996843e-05	0	0	3.659655e+00	5.690689e+01	ITK;CD274;TXK;RORA;GATA3;LY9;RASGRP1;SLAMF6;CCR7;TIGIT;ZBP1;GBP5;CD2;CD40LG;IFNG;CD6;IL23A;IL7;CD28;XCL1;CD226;LTB;IL6ST;IL18R1;CARD11
GO_Biological_Process_2021	regulation of natural killer cell mediated cytotoxicity (GO:0042269)	8/30	2.299568e-07	6.835465e-05	0	0	1.610307e+01	2.461415e+02	KLRK1;KLRC2;CD160;SLAMF6;CD226;KLRD1;KLRC1;RASGRP1
GO_Biological_Process_2021	positive regulation of leukocyte mediated cytotoxicity (GO:0001912)	9/43	3.830370e-07	1.012069e-04	0	0	1.174151e+01	1.734824e+02	KLRK1;KLRC2;CD160;IL23A;XCL1;SLAMF6;CD226;KLRD1;RASGRP1
GO_Biological_Process_2021	positive regulation of natural killer cell mediated immunity (GO:0002717)	7/23	4.926129e-07	1.123942e-04	0	0	1.933611e+01	2.808289e+02	KLRK1;KLRC2;CD160;CD226;KLRD1;SLAMF6;RASGRP1
GO_Biological_Process_2021	cellular response to cytokine stimulus (GO:0071345)	30/482	5.452872e-07	1.123942e-04	0	0	3.025376e+00	4.363184e+01	CSF1;TCF7;LEF1;RORA;GATA3;ZFP36L1;SOCS3;GRAP2;CCL5;STAT4;LEPR;S1PR1;CCL2;FYN;CCR7;LDLRAP1;GBP1;IL32;GBP5;PYHIN1;FLT3LG;LCK;IL23A;IL7;IL2RB;XCL2;XCL1;IL6ST;PTPN4;IL18R1
GO_Biological_Process_2021	T cell receptor signaling pathway (GO:0050852)	16/158	5.671698e-07	1.123942e-04	0	0	5.050646e+00	7.264145e+01	ITK;TRAT1;TXK;THEMIS;CD3G;GATA3;CD3E;LCK;GRAP2;CD28;CTLA4;FYN;CD247;CARD11;SKAP1;LAT
GO_Biological_Process_2021	regulation of immune response (GO:0050776)	17/179	6.293672e-07	1.151258e-04	0	0	4.709834e+00	6.724960e+01	IFITM1;KLRB1;CD160;CD3G;CD3E;HERC5;KLRK1;CD40LG;CD8B;CD8A;SLAMF7;LAIR2;CD226;SLAMF6;KLRD1;KLRC1;CD247
GO_Biological_Process_2021	regulation of T cell activation (GO:0050863)	9/47	8.548030e-07	1.451944e-04	0	0	1.050341e+01	1.467578e+02	CD2;SIT1;LCK;CCL5;TBX21;SIRPG;CCL2;TIGIT;LAT
GO_Biological_Process_2021	regulation of lymphocyte differentiation (GO:0045619)	6/20	3.673711e-06	5.824057e-04	0	0	1.890068e+01	2.365289e+02	ZNF683;CD2;TBX21;PRDM1;IKZF3;ZFP36L1
GO_Biological_Process_2021	regulation of cholesterol metabolic process (GO:0090181)	6/21	5.046043e-06	7.499681e-04	0	0	1.763973e+01	2.151501e+02	SEC14L2;EPHX2;APOE;LDLRAP1;TTC39B;CES1
GO_Biological_Process_2021	positive regulation of lymphocyte proliferation (GO:0050671)	10/75	6.622175e-06	9.263254e-04	0	0	6.828807e+00	8.143411e+01	CD274;CD40LG;TFRC;CD6;IL23A;IL7;CCL5;CD28;CD3E;IL6ST
GO_Biological_Process_2021	regulation of natural killer cell chemotaxis (GO:2000501)	4/7	8.314350e-06	1.098418e-03	0	0	5.857079e+01	6.851334e+02	KLRK1;CCL5;CCL2;XCL1
GO_Biological_Process_2021	regulation of T cell receptor signaling pathway (GO:0050856)	7/35	1.070431e-05	1.339729e-03	0	0	1.104242e+01	1.263790e+02	CD160;TRAT1;LCK;CD226;UBASH3A;GBP1;CARD11
GO_Biological_Process_2021	regulation of lymphocyte activation (GO:0051249)	5/15	1.390561e-05	1.653377e-03	0	0	2.200563e+01	2.460938e+02	LCK;SIT1;CCL5;IKZF3;LAT
GO_Biological_Process_2021	positive regulation of T cell proliferation (GO:0042102)	9/66	1.592722e-05	1.803568e-03	0	0	6.995455e+00	7.728215e+01	CD274;CD40LG;TFRC;CD6;IL23A;CCL5;CD28;CD3E;IL6ST
GO_Biological_Process_2021	regulation of interferon-gamma production (GO:0032649)	10/86	2.271107e-05	2.454860e-03	0	0	5.837130e+00	6.241443e+01	CD2;CD274;IL23A;TXK;XCL1;CCR7;CD226;SLAMF6;RASGRP1;IL18R1
GO_Biological_Process_2021	lymphocyte migration (GO:0072676)	7/40	2.693894e-05	2.785252e-03	0	0	9.366927e+00	9.855822e+01	CCL5;TBX21;S1PR1;XCL2;CCL2;XCL1;GATA3
GO_Biological_Process_2021	T cell differentiation (GO:0030217)	7/41	3.186280e-05	3.157073e-03	0	0	9.090964e+00	9.412848e+01	CD8A;LCK;TCF7;LEPR;CD28;GATA3;ZFP36L1
GO_Biological_Process_2021	regulation of cell-cell adhesion mediated by integrin (GO:0033632)	4/10	4.727702e-05	4.163880e-03	0	0	2.928090e+01	2.916227e+02	DPP4;CCL5;CD3E;SKAP1
GO_Biological_Process_2021	cellular response to interleukin-4 (GO:0071353)	4/10	4.727702e-05	4.163880e-03	0	0	2.928090e+01	2.916227e+02	LEF1;TCF7;XCL1;GATA3
GO_Biological_Process_2021	response to interleukin-4 (GO:0070670)	4/10	4.727702e-05	4.163880e-03	0	0	2.928090e+01	2.916227e+02	LEF1;TCF7;XCL1;GATA3
GO_Biological_Process_2021	regulation of T cell proliferation (GO:0042129)	9/76	5.030033e-05	4.271935e-03	0	0	5.948304e+00	5.887333e+01	CD274;CD40LG;TFRC;CD6;IL23A;CCL5;CD28;CD3E;IL6ST
GO_Biological_Process_2021	natural killer cell mediated immunity (GO:0002228)	5/20	6.542982e-05	5.214636e-03	0	0	1.466667e+01	1.413065e+02	KLRK1;KLRC2;GZMB;SLAMF7;KLRD1
GO_Biological_Process_2021	negative regulation of cytokine production (GO:0001818)	14/182	6.578599e-05	5.214636e-03	0	0	3.713218e+00	3.575497e+01	CD274;ABCD2;LEF1;OTUD7B;HERC5;IFNG;IL23A;TBX21;XCL1;CCR7;TIGIT;TRIB2;GBP1;SLAMF1
GO_Biological_Process_2021	positive regulation of interleukin-10 production (GO:0032733)	6/32	6.835421e-05	5.243430e-03	0	0	1.017104e+01	9.754845e+01	CD274;CD40LG;IL23A;CD28;XCL1;TIGIT
GO_Biological_Process_2021	positive regulation of cell-cell adhesion (GO:0022409)	7/47	7.937591e-05	5.898623e-03	0	0	7.724943e+00	7.293363e+01	ADAM19;LCK;CCL5;SIRPG;CD3E;SKAP1;SMAD7
GO_Biological_Process_2021	positive regulation of antigen receptor-mediated signaling pathway (GO:0050857)	5/21	8.429990e-05	6.074702e-03	0	0	1.374930e+01	1.289839e+02	PRKCH;TRAT1;LCK;CD226;CARD11
GO_Biological_Process_2021	regulation of interleukin-10 production (GO:0032653)	7/48	9.115137e-05	6.375234e-03	0	0	7.536144e+00	7.010866e+01	CD274;CD40LG;IL23A;CD28;XCL1;TIGIT;TRIB2
GO_Biological_Process_2021	B cell receptor signaling pathway (GO:0050853)	6/34	9.766806e-05	6.635847e-03	0	0	9.443567e+00	8.720129e+01	ITK;IGLL5;PLEKHA1;LCK;CTLA4;LIME1
GO_Biological_Process_2021	cellular defense response (GO:0006968)	7/49	1.043109e-04	6.704091e-03	0	0	7.356335e+00	6.744387e+01	ITK;FCMR;KLRC2;GNLY;KLRC3;TRAT1;KLRG1
GO_Biological_Process_2021	positive regulation of actin filament polymerization (GO:0030838)	7/49	1.043109e-04	6.704091e-03	0	0	7.356335e+00	6.744387e+01	NCKAP1;TENM1;CTTN;BIN1;CCR7;EVL;PFN2
GO_Biological_Process_2021	regulation of interleukin-12 production (GO:0032655)	7/51	1.352685e-04	8.464957e-03	0	0	7.021236e+00	6.254692e+01	CD40LG;IFNG;IL23A;CCR7;LTB;TIGIT;SLAMF1
GO_Biological_Process_2021	positive regulation of steroid metabolic process (GO:0045940)	4/13	1.525653e-04	9.087610e-03	0	0	1.951760e+01	1.715191e+02	APOC1;APOE;LDLRAP1;CES1
GO_Biological_Process_2021	positive regulation of protein polymerization (GO:0032273)	8/69	1.528614e-04	9.087610e-03	0	0	5.796067e+00	5.092412e+01	NCKAP1;TENM1;CTTN;BIN1;CCR7;EVL;PFN2;CDK5R1
GO_Biological_Process_2021	negative regulation of sequestering of calcium ion (GO:0051283)	5/25	2.043970e-04	1.129450e-02	0	0	1.099718e+01	9.342599e+01	LCK;XCL1;ITPR3;CCR7;RYR3
GO_Biological_Process_2021	positive regulation of supramolecular fiber organization (GO:1902905)	9/91	2.058328e-04	1.129450e-02	0	0	4.856458e+00	4.122378e+01	NCKAP1;TENM1;CTTN;BIN1;CCR7;EVL;APOE;PFN2;CDK5R1
GO_Biological_Process_2021	negative regulation of T cell mediated immunity (GO:0002710)	4/14	2.098142e-04	1.129450e-02	0	0	1.756494e+01	1.487626e+02	XCL1;KLRD1;KLRC1;SMAD7
GO_Biological_Process_2021	positive regulation of T cell receptor signaling pathway (GO:0050862)	4/14	2.098142e-04	1.129450e-02	0	0	1.756494e+01	1.487626e+02	TRAT1;LCK;CD226;CARD11
GO_Biological_Process_2021	positive regulation of cell-cell adhesion mediated by integrin (GO:0033634)	3/6	2.137312e-04	1.129450e-02	0	0	4.382960e+01	3.703948e+02	CCL5;CD3E;SKAP1
GO_Biological_Process_2021	positive regulation of immune response (GO:0050778)	8/75	2.743677e-04	1.392331e-02	0	0	5.275392e+00	4.326371e+01	GBP5;IFNG;IL23A;CCL5;CCR7;CD226;IL6ST;SKAP1
GO_Biological_Process_2021	positive regulation of interferon-gamma production (GO:0032729)	7/57	2.751875e-04	1.392331e-02	0	0	6.176787e+00	5.063766e+01	CD2;IL23A;TXK;CD226;SLAMF6;RASGRP1;IL18R1
GO_Biological_Process_2021	release of sequestered calcium ion into cytosol (GO:0051209)	5/27	2.993099e-04	1.482831e-02	0	0	9.996417e+00	8.111124e+01	LCK;XCL1;ITPR3;CCR7;RYR3
GO_Biological_Process_2021	enzyme linked receptor protein signaling pathway (GO:0007167)	11/140	3.265701e-04	1.584865e-02	0	0	3.781140e+00	3.035071e+01	EPHA4;CSF1;CD8B;CD8A;LCK;CD7;LMTK2;FYN;IL6ST;CD3E;ACVR2A
GO_Biological_Process_2021	positive regulation of leukocyte cell-cell adhesion (GO:1903039)	5/31	5.851450e-04	2.728767e-02	0	0	8.456774e+00	6.294927e+01	LCK;SIRPG;CCL2;ETS1;SKAP1
GO_Biological_Process_2021	positive regulation of nucleic acid-templated transcription (GO:1903508)	24/511	5.852275e-04	2.728767e-02	0	0	2.210586e+00	1.645452e+01	KCNH2;EOMES;PYHIN1;LEF1;NR1D2;RORA;GATA3;MLLT3;RGMB;GATA1;ETS1;KLF1;ARNTL;SEC14L2;HMGN5;LBH;CDH1;CAMK4;TBX21;PIM2;APOE;APBB1;MYBL1;SKAP1
GO_Biological_Process_2021	amyloid precursor protein metabolic process (GO:0042982)	4/18	5.972873e-04	2.731441e-02	0	0	1.254382e+01	9.311419e+01	ADAM19;NSG1;APOE;LDLRAP1
GO_Biological_Process_2021	regulation of protein localization to nucleus (GO:1900180)	6/47	6.097552e-04	2.735845e-02	0	0	6.444971e+00	4.770859e+01	MFHAS1;TFRC;PYHIN1;ORMDL3;OTUD7B;FERMT2
GO_Biological_Process_2021	negative regulation of T cell cytokine production (GO:0002725)	3/9	8.535731e-04	3.758883e-02	0	0	2.191143e+01	1.548279e+02	TBX21;XCL1;SMAD7
