,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,KEGG_2021_Human,T cell receptor signaling pathway,19/104,1.6771431760017826e-12,4.092229349444349e-10,0,0,10.119124487004104,274.36922551845447,ITK;CD8B2;CD3G;CD3E;RASGRP1;PPP3CC;CD40LG;CD8B;IFNG;CD8A;LCK;GRAP2;CD28;CTLA4;FYN;CD247;ICOS;CARD11;LAT
1,KEGG_2021_Human,Hematopoietic cell lineage,15/99,5.646508418514357e-09,6.888740270587516e-07,0,0,8.00979262672811,152.12381149878027,CSF1;TFRC;ITGA1;CD8B2;FLT3LG;CD3G;CD3E;EPOR;CD2;CD8B;CD8A;IL7;CD5;CD7;IL7R
2,KEGG_2021_Human,Cell adhesion molecules,17/148,3.95528363729882e-08,3.21696402500304e-06,0,0,5.83368674017529,99.43885654522175,CD274;CD8B2;CD2;CD40LG;CD8B;CD6;CDH1;CD8A;CD28;CTLA4;CD226;NCAM1;ICOS;TIGIT;NEO1;NECTIN3;NECTIN1
3,KEGG_2021_Human,Cytokine-cytokine receptor interaction,24/295,6.268467796307138e-08,3.8237653557473545e-06,0,0,4.01753852832646,66.63147426095131,IL32;CSF1;ACVR2A;EPOR;CD40LG;IL18RAP;IFNG;IL23A;IL7;CCL5;IL2RB;LEPR;LTA;XCL2;IL21R;CD27;XCL1;CCL2;CCR7;LTB;IL6ST;IL7R;CCR4;IL18R1
4,KEGG_2021_Human,Th17 cell differentiation,14/107,1.225112352465826e-07,5.978548280033229e-06,0,0,6.733704115684094,107.16732586328924,RORA;CD3G;GATA3;CD3E;PPP3CC;IFNG;IL23A;LCK;TBX21;IL2RB;IL21R;CD247;IL6ST;LAT
5,KEGG_2021_Human,Th1 and Th2 cell differentiation,12/92,1.0124461079320298e-06,4.117280838923588e-05,0,0,6.683409610983982,92.25204699973,PPP3CC;MAF;IFNG;LCK;TBX21;IL2RB;STAT4;CD3G;GATA3;CD247;CD3E;LAT
6,KEGG_2021_Human,Primary immunodeficiency,8/38,1.6413672804229612e-06,5.32727956595585e-05,0,0,11.80408163265306,157.2301425487606,CD40LG;CD8B;CD8A;LCK;CD8B2;CD3E;ICOS;IL7R
7,KEGG_2021_Human,Inflammatory bowel disease,10/65,1.746649038018311e-06,5.32727956595585e-05,0,0,8.074549596189687,107.05085601799593,IL18RAP;MAF;IFNG;IL23A;TBX21;IL21R;STAT4;RORA;GATA3;IL18R1
8,KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,12/100,2.4931709081681213e-06,6.759263351033573e-05,0,0,6.073330559600582,78.35783879810275,IL18RAP;CSF1;CCL5;IL2RB;LTA;XCL2;XCL1;CCL2;CCR7;IL6ST;CCR4;IL18R1
9,KEGG_2021_Human,PD-L1 expression and PD-1 checkpoint pathway in cancer,11/89,4.886611399316579e-06,0.00011923331814332453,0,0,6.2698454513523005,76.67401187741686,EML4;CD274;PPP3CC;IFNG;LCK;CD28;CD3G;CD247;CD3E;RASGRP1;LAT
10,KEGG_2021_Human,Natural killer cell mediated cytotoxicity,13/131,8.128977828014276e-06,0.00018031550818504397,0,0,4.910375524801742,57.549971249217954,KLRC2;KLRC3;GZMB;KLRK1;PPP3CC;IFNG;LCK;KLRD1;CD48;FYN;KLRC1;CD247;LAT
11,KEGG_2021_Human,Antigen processing and presentation,9/78,6.189230567030605e-05,0.0012584768819628,0,0,5.775296442687747,55.9632848901912,CD8B;IFNG;KLRC2;CD8A;KLRC3;KLRC4;CD8B2;KLRD1;KLRC1
12,KEGG_2021_Human,JAK-STAT signaling pathway,11/162,0.0011098483217074,0.0203428422789966,0,0,3.226586833590372,21.952186515323728,SOCS3;IFNG;IL23A;IL7;IL2RB;LEPR;IL21R;STAT4;IL6ST;IL7R;EPOR
13,KEGG_2021_Human,Rheumatoid arthritis,8/93,0.0011672122619096,0.0203428422789966,0,0,4.154408430038682,28.05528951218149,CSF1;IFNG;IL23A;CCL5;CD28;CTLA4;CCL2;LTB
14,KEGG_2021_Human,Graft-versus-host disease,5/42,0.0023936180184904,0.0389361864341111,0,0,5.939250060871682,35.84307265548379,IFNG;CD28;GZMB;KLRD1;KLRC1
15,KEGG_2021_Human,Malaria,5/50,0.0051513020589604,0.0744056423844828,0,0,4.881381381381382,25.717585969860064,KLRK1;CD40LG;IFNG;KLRB1;CCL2
16,KEGG_2021_Human,Adherens junction,6/71,0.0051839996743287,0.0744056423844828,0,0,4.06028824448689,21.365961027891363,CDH1;LEF1;TCF7;FYN;NECTIN3;NECTIN1
17,KEGG_2021_Human,Osteoclast differentiation,8/127,0.0079736353329055,0.1045667414525427,0,0,2.9622515672935843,14.312458404506105,SOCS3;PPP3CC;CSF1;IFNG;LCK;CAMK4;SIRPG;FYN
18,KEGG_2021_Human,Chagas disease,7/102,0.0081424921622881,0.1045667414525427,0,0,3.2434389140271493,15.60307854881735,IFNG;PPP2R2B;CCL5;CCL2;CD3G;CD247;CD3E
19,KEGG_2021_Human,NF-kappa B signaling pathway,7/104,0.0090189450743302,0.1100311299068292,0,0,3.1762373466436533,14.955084558421287,CD40LG;LCK;LTA;TRAF1;LTB;CARD11;LAT
20,KEGG_2021_Human,Allograft rejection,4/38,0.0101241707959868,0.1176332225819422,0,0,5.15981493721084,23.698150598895666,CD40LG;IFNG;CD28;GZMB
21,KEGG_2021_Human,TNF signaling pathway,7/112,0.0132250164831418,0.1466774555403006,0,0,2.9330316742081446,12.687253957333777,SOCS3;CSF1;CCL5;LTA;CCL2;TRAF1;IL18R1
22,KEGG_2021_Human,Type I diabetes mellitus,4/43,0.0155112655158302,0.1645542950375036,0,0,4.4971477960242,18.73596638210586,IFNG;CD28;LTA;GZMB
23,KEGG_2021_Human,TGF-beta signaling pathway,6/94,0.019235125882458,0.1955571131383239,0,0,2.995536630412477,11.835416745050852,IFNG;RGMB;NEO1;LTBP1;ACVR2A;SMAD7
24,KEGG_2021_Human,Chemokine signaling pathway,9/192,0.0297781227553157,0.2876357759647179,0,0,2.164828614008942,7.607167247433304,TIAM1;ITK;GNG2;CCL5;XCL2;XCL1;CCL2;CCR7;CCR4
25,KEGG_2021_Human,Autoimmune thyroid disease,4/53,0.0309431788911673,0.2876357759647179,0,0,3.5775280898876405,12.434066272010377,CD40LG;CD28;CTLA4;GZMB
