Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	T cell receptor signaling pathway	19/104	1.677143e-12	4.092229e-10	0	0	1.011912e+01	2.743692e+02	ITK;CD8B2;CD3G;CD3E;RASGRP1;PPP3CC;CD40LG;CD8B;IFNG;CD8A;LCK;GRAP2;CD28;CTLA4;FYN;CD247;ICOS;CARD11;LAT
KEGG_2021_Human	Hematopoietic cell lineage	15/99	5.646508e-09	6.888740e-07	0	0	8.009793e+00	1.521238e+02	CSF1;TFRC;ITGA1;CD8B2;FLT3LG;CD3G;CD3E;EPOR;CD2;CD8B;CD8A;IL7;CD5;CD7;IL7R
KEGG_2021_Human	Cell adhesion molecules	17/148	3.955284e-08	3.216964e-06	0	0	5.833687e+00	9.943886e+01	CD274;CD8B2;CD2;CD40LG;CD8B;CD6;CDH1;CD8A;CD28;CTLA4;CD226;NCAM1;ICOS;TIGIT;NEO1;NECTIN3;NECTIN1
KEGG_2021_Human	Cytokine-cytokine receptor interaction	24/295	6.268468e-08	3.823765e-06	0	0	4.017539e+00	6.663147e+01	IL32;CSF1;ACVR2A;EPOR;CD40LG;IL18RAP;IFNG;IL23A;IL7;CCL5;IL2RB;LEPR;LTA;XCL2;IL21R;CD27;XCL1;CCL2;CCR7;LTB;IL6ST;IL7R;CCR4;IL18R1
KEGG_2021_Human	Th17 cell differentiation	14/107	1.225112e-07	5.978548e-06	0	0	6.733704e+00	1.071673e+02	RORA;CD3G;GATA3;CD3E;PPP3CC;IFNG;IL23A;LCK;TBX21;IL2RB;IL21R;CD247;IL6ST;LAT
KEGG_2021_Human	Th1 and Th2 cell differentiation	12/92	1.012446e-06	4.117281e-05	0	0	6.683410e+00	9.225205e+01	PPP3CC;MAF;IFNG;LCK;TBX21;IL2RB;STAT4;CD3G;GATA3;CD247;CD3E;LAT
KEGG_2021_Human	Primary immunodeficiency	8/38	1.641367e-06	5.327280e-05	0	0	1.180408e+01	1.572301e+02	CD40LG;CD8B;CD8A;LCK;CD8B2;CD3E;ICOS;IL7R
KEGG_2021_Human	Inflammatory bowel disease	10/65	1.746649e-06	5.327280e-05	0	0	8.074550e+00	1.070509e+02	IL18RAP;MAF;IFNG;IL23A;TBX21;IL21R;STAT4;RORA;GATA3;IL18R1
KEGG_2021_Human	Viral protein interaction with cytokine and cytokine receptor	12/100	2.493171e-06	6.759263e-05	0	0	6.073331e+00	7.835784e+01	IL18RAP;CSF1;CCL5;IL2RB;LTA;XCL2;XCL1;CCL2;CCR7;IL6ST;CCR4;IL18R1
KEGG_2021_Human	PD-L1 expression and PD-1 checkpoint pathway in cancer	11/89	4.886611e-06	1.192333e-04	0	0	6.269845e+00	7.667401e+01	EML4;CD274;PPP3CC;IFNG;LCK;CD28;CD3G;CD247;CD3E;RASGRP1;LAT
KEGG_2021_Human	Natural killer cell mediated cytotoxicity	13/131	8.128978e-06	1.803155e-04	0	0	4.910376e+00	5.754997e+01	KLRC2;KLRC3;GZMB;KLRK1;PPP3CC;IFNG;LCK;KLRD1;CD48;FYN;KLRC1;CD247;LAT
