Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933	17/123	2.322343e-09	1.811428e-06	0	0	7.218837e+00	1.435155e+02	IFITM1;KLRB1;CD160;CD3E;IGLL5;KLRK1;CD40LG;CD8B;CD8A;SLAMF7;LAIR2;CD226;SLAMF6;KLRD1;KLRC1;CD247;KLRG1
Reactome_2022	Immune System R-HSA-168256	82/1943	1.413379e-08	5.512178e-06	0	0	2.123876e+00	3.838842e+01	CYFIP2;PRR5;NCKAP1;ITK;IFITM1;CSF1;SLC44A2;RORA;CD3E;OASL;HERC5;IL18RAP;GNLY;KIF5C;GRAP2;CTLA4;TRIM69;CTSE;ZBP1;GBP5;TRPC1;FLT3LG;RNASE1;IFI27;CD8B;IFNG;LCK;IL23A;CD8A;LTA;EVL;CD226;LTB;IL6ST;CARD11;CD274;KLRB1;TXK;CFI;ITPR3;GATA3;RASGRP1;SEC14L2;SOCS3;KLRK1;CCL5;ORMDL3;STAT4;BTLA;IL21R;S1PR1;CCL2;SLAMF7;LAIR2;FYN;SLAMF6;NCAM1;KLRC1;ICOS;GBP1;KLRG1;IL32;BCL11B;KLRC2;CD160;TRAT1;FBXO32;UBAC1;SMAD7;ISG20;IGLL5;GZMM;CD40LG;IL7;IL2RB;CD28;CD27;KLRD1;CD247;PTPN4;IL7R;IL18R1
Reactome_2022	Adaptive Immune System R-HSA-1280218	42/733	2.916526e-08	6.444045e-06	0	0	2.816557e+00	4.886807e+01	PRR5;ITK;CD274;IFITM1;KLRB1;ITPR3;CD3E;RASGRP1;HERC5;SEC14L2;SOCS3;KLRK1;KIF5C;GRAP2;BTLA;CTLA4;TRIM69;SLAMF7;LAIR2;FYN;SLAMF6;KLRC1;ICOS;CTSE;KLRG1;CD160;TRAT1;TRPC1;FBXO32;RNASE1;UBAC1;IGLL5;CD40LG;CD8B;LCK;CD8A;CD28;EVL;CD226;KLRD1;CD247;CARD11
Reactome_2022	Costimulation By CD28 Family R-HSA-388841	12/68	3.304638e-08	6.444045e-06	0	0	9.559497e+00	1.646657e+02	PRR5;CD274;LCK;GRAP2;BTLA;CD28;CTLA4;FYN;CD247;CD3E;ICOS;RNASE1
Reactome_2022	Cytokine Signaling In Immune System R-HSA-1280215	37/702	1.518551e-06	2.368939e-04	0	0	2.550485e+00	3.417078e+01	IFITM1;CSF1;RORA;GATA3;OASL;HERC5;SOCS3;IL18RAP;GRAP2;CCL5;STAT4;IL21R;S1PR1;CCL2;FYN;NCAM1;GBP1;IL32;GBP5;BCL11B;FLT3LG;SMAD7;ISG20;CD40LG;IFI27;IFNG;LCK;IL23A;IL7;IL2RB;LTA;CD27;LTB;IL6ST;PTPN4;IL7R;IL18R1
Reactome_2022	DAP12 Signaling R-HSA-2424491	7/28	2.158906e-06	2.806578e-04	0	0	1.472851e+01	1.921468e+02	KLRK1;KLRC2;LCK;GRAP2;FYN;KLRD1;RNASE1
Reactome_2022	Nef And Signal Transduction R-HSA-164944	4/8	1.633340e-05	1.820008e-03	0	0	4.392584e+01	4.841637e+02	LCK;FYN;CD247;RNASE1
Reactome_2022	Role Of Nef In HIV-1 Replication And Disease Pathogenesis R-HSA-164952	6/27	2.455380e-05	2.393995e-03	0	0	1.259594e+01	1.337014e+02	CD8B;LCK;CD28;FYN;CD247;RNASE1
Reactome_2022	Signal Transduction R-HSA-162582	85/2465	3.242584e-05	2.810239e-03	0	0	1.684753e+00	1.741454e+01	CYFIP2;PRR5;NCKAP1;ERCC6L;PTPRS;TFRC;GPR68;DOCK9;DGKA;GPR65;FAM13A;OTUD7B;RORA;ECE1;PTPRK;PRDM1;PCSK5;SYDE2;PPP3CC;GRAP2;EPSTI1;PRKG2;CCR7;DLGAP5;PTGDR;DACT1;PLEKHG1;PRKCH;FGFBP2;FLT3LG;TRAF1;REXO2;RNASE1;ARL4C;TIAM1;CTTN;RASA3;LCK;SPATA13;ALDH1A1;XCL2;XCL1;EVL;IL6ST;PFN2;MTMR1;CD274;AMIGO2;TCF7;LEF1;ITPR3;GATA3;RASGRP1;LTBP1;SOCS3;GNG2;CCL5;MYO6;LRIG1;S1PR1;CCL2;FYN;NCAM1;APOE;ICOS;MYH10;BCL9L;IL32;P2RY10;BCL11B;ARHGEF37;TRAT1;GZMB;EPOR;ACVR2A;SMAD7;TNRC6C;XK;CAMK4;APOC1;IL2RB;NMU;CD28;FERMT2;CDK5R1
Reactome_2022	DAP12 Interactions R-HSA-2172127	7/43	4.393758e-05	3.427131e-03	0	0	8.585030e+00	8.613138e+01	KLRK1;KLRC2;LCK;GRAP2;FYN;KLRD1;RNASE1
Reactome_2022	Generation Of Second Messenger Molecules R-HSA-202433	6/32	6.835421e-05	4.846935e-03	0	0	1.017104e+01	9.754845e+01	ITK;LCK;GRAP2;EVL;CD247;CD3E
Reactome_2022	CD28 Co-Stimulation R-HSA-389356	6/34	9.766806e-05	6.054969e-03	0	0	9.443567e+00	8.720129e+01	PRR5;LCK;GRAP2;CD28;FYN;RNASE1
Reactome_2022	CD28 Dependent Vav1 Pathway R-HSA-389359	4/12	1.075251e-04	6.054969e-03	0	0	2.195843e+01	2.006514e+02	LCK;CD28;FYN;RNASE1
Reactome_2022	Activated NTRK2 Signals Thru CDK5 R-HSA-9032845	3/5	1.086789e-04	6.054969e-03	0	0	6.574776e+01	6.000872e+02	TIAM1;RNASE1;CDK5R1
Reactome_2022	FLT3 Signaling Thru SRC Family Kinases R-HSA-9706374	3/6	2.137312e-04	1.111402e-02	0	0	4.382960e+01	3.703948e+02	LCK;FLT3LG;FYN
Reactome_2022	FCERI Mediated Ca+2 Mobilization R-HSA-2871809	5/29	4.243333e-04	2.068625e-02	0	0	9.162444e+00	7.114630e+01	ITK;IGLL5;TXK;GRAP2;ITPR3
Reactome_2022	RAC1 GTPase Cycle R-HSA-9013149	12/178	7.142217e-04	3.277017e-02	0	0	3.206694e+00	2.323031e+01	CYFIP2;SYDE2;NCKAP1;TIAM1;PLEKHG1;TFRC;DOCK9;FAM13A;SPATA13;AMIGO2;RNASE1;FERMT2
Reactome_2022	Interferon Gamma Signaling R-HSA-877300	8/89	8.747571e-04	3.701956e-02	0	0	4.360460e+00	3.070446e+01	GBP5;SOCS3;IFNG;BCL11B;NCAM1;GBP1;OASL;SMAD7
Reactome_2022	Cell Surface Interactions At Vascular Wall R-HSA-202733	10/134	9.017586e-04	3.701956e-02	0	0	3.568778e+00	2.502129e+01	VPREB3;CD2;IGLL5;LCK;EPCAM;SIRPG;CD48;FYN;ATP1B2;JCHAIN
Reactome_2022	PD-1 Signaling R-HSA-389948	4/21	1.107601e-03	4.319645e-02	0	0	1.032862e+01	7.029202e+01	CD274;LCK;CD247;CD3E
